# Time(ps)    MSD_potential 22(A^2)    MSD_potential 26(A^2)    MSD_pruned_1(A^2)    MSD_pruned_2(A^2)    MSD_pruned_3(A^2)
     21.0000     552.2021     580.7749     479.7961     532.2732     517.5566
     21.1000     552.3255     583.1706     480.8049     536.0895     521.2158
     21.2000     555.4791     586.9034     480.4936     540.4774     523.3320
     21.3000     558.2690     591.4972     481.2040     542.5063     527.7410
     21.4000     557.8823     591.4621     484.5613     545.2587     530.2182
     21.5000     562.3259     592.7778     485.2266     545.0859     531.8160
     21.6000     562.6547     596.9560     487.3907     546.9344     530.8854
     21.7000     560.7958     603.9230     489.0197     550.8292     533.1873
     21.8000     564.2483     609.7704     492.8734     554.7170     535.2528
     21.9000     567.7973     614.1058     492.0836     557.3024     542.5979
     22.0000     573.0348     616.0254     493.8636     561.2912     549.5652
     22.1000     576.6272     616.7076     494.2348     564.3160     553.3918
     22.2000     578.8216     619.5406     497.7655     567.8069     555.6565
     22.3000     581.5967     623.2934     498.0734     568.1813     558.3568
     22.4000     582.6688     625.0833     500.2807     569.3055     562.2200
     22.5000     585.1399     624.2784     503.9522     570.1038     567.0065
     22.6000     585.4960     622.9294     506.3770     570.5125     568.5957
     22.7000     587.4889     626.3878     508.8997     573.0397     572.6638
     22.8000     587.1622     624.9156     513.2769     572.5571     574.6531
     22.9000     584.9548     627.4173     516.6602     572.9468     578.0057
     23.0000     587.0874     630.7565     518.0711     573.9168     580.4111
     23.1000     589.1874     631.7474     523.0364     576.4309     582.6990
     23.2000     593.1704     633.7624     527.4431     575.4207     589.2930
     23.3000     597.1324     634.8723     530.6008     580.1373     592.5147
     23.4000     595.2245     635.2009     533.5291     586.4808     592.2411
     23.5000     596.1557     637.4348     537.3531     586.5640     595.8626
     23.6000     599.0110     637.3992     541.6954     588.6270     599.6023
     23.7000     602.9188     644.2833     543.2525     590.9867     602.9928
     23.8000     601.3421     649.0972     546.0454     596.2739     605.8079
     23.9000     601.4711     653.6658     545.8324     602.3842     607.5385
     24.0000     603.4598     655.9424     546.8931     605.4977     610.4346
     24.1000     606.3020     657.4682     547.9946     608.8624     611.4726
     24.2000     605.5644     662.1010     550.2188     608.5905     611.6667
     24.3000     610.4590     664.8865     552.4866     609.5709     613.3726
     24.4000     611.1197     666.8397     554.1488     610.8704     614.2731
     24.5000     609.2667     667.8589     557.8964     611.6153     619.1833
     24.6000     611.7653     667.6564     557.4288     613.2578     618.9437
     24.7000     618.7997     670.0922     561.1862     611.8992     619.8071
     24.8000     623.7575     673.2445     563.2828     612.9508     621.0012
     24.9000     628.7397     678.1173     567.7624     614.8962     622.0472
     25.0000     630.3599     678.8896     570.5966     618.1357     623.8616
     25.1000     634.9260     683.0810     575.8454     621.4827     628.2203
     25.2000     637.4559     686.9624     578.7559     626.6915     633.5104
     25.3000     640.3731     692.3707     579.2812     627.1874     637.4372
     25.4000     644.4140     695.9362     577.0469     629.8950     636.3671
     25.5000     645.9621     698.7528     580.6627     634.2348     640.1786
     25.6000     647.5491     702.0530     583.7698     634.6328     643.7647
     25.7000     647.5916     703.9641     584.7063     634.8804     650.1302
     25.8000     647.3447     707.0010     588.2836     636.8846     656.0847
     25.9000     651.0790     707.9827     591.0632     637.3219     656.4411
     26.0000     652.3865     708.4005     593.3528     638.0004     658.4376
     26.1000     653.8884     709.0011     594.2503     637.0253     659.7736
     26.2000     656.7803     711.9079     594.2325     638.0042     665.4709
     26.3000     659.6537     717.6240     599.5618     640.7134     668.8701
     26.4000     663.1915     722.6529     607.8961     643.3364     670.3015
     26.5000     664.8923     725.4047     611.7221     649.3679     674.4058
     26.6000     666.8406     728.1957     612.6898     652.4015     677.8003
     26.7000     668.0789     733.8814     617.1235     656.0722     681.7064
     26.8000     668.2241     734.4548     620.2315     659.0294     685.1559
     26.9000     671.3298     734.4368     619.5818     660.5485     690.5942
     27.0000     674.0880     736.2620     620.8508     660.8265     694.8445
     27.1000     676.4897     741.5991     622.5259     658.3086     699.8118
     27.2000     680.1147     745.9464     627.8906     658.7086     701.9269
     27.3000     682.4640     749.0134     630.6117     659.8180     704.1108
     27.4000     686.4706     752.0900     634.3152     662.1694     707.8941
     27.5000     688.4758     754.2725     637.8625     664.9880     710.3738
     27.6000     692.8961     754.7244     640.8199     668.0959     708.3550
     27.7000     698.7072     759.4387     645.1937     670.5454     704.5179
     27.8000     705.4182     761.6048     645.8456     667.0508     705.4385
     27.9000     709.2552     762.5540     649.3722     665.9332     711.2138
     28.0000     713.8765     765.8542     650.2179     668.2395     717.2958
     28.1000     713.9725     770.3489     650.3991     672.2755     718.1683
     28.2000     712.9358     774.4758     651.5589     676.7917     720.0200
     28.3000     715.4070     778.6032     651.3254     679.6868     719.7840
     28.4000     718.7472     783.5645     649.4660     679.0560     718.4605
     28.5000     725.1000     787.9966     655.8600     680.8906     717.1149
     28.6000     725.9247     794.1451     659.5995     680.3089     715.9661
     28.7000     729.3522     799.2732     662.6445     681.7568     720.9786
     28.8000     732.2691     804.6557     664.3333     684.6827     727.5762
     28.9000     737.0678     809.9059     665.0285     687.2685     732.1564
     29.0000     741.1091     818.7548     665.6573     686.5881     739.9879
     29.1000     743.4964     823.8106     669.1236     687.8181     748.7450
     29.2000     747.2251     828.0173     674.0053     691.0411     756.6788
     29.3000     750.9803     835.4814     675.9321     692.8141     764.7640
     29.4000     755.3831     835.9068     679.4830     694.7215     766.8571
     29.5000     757.0396     837.7433     682.6032     696.4382     768.9804
     29.6000     758.9178     838.9267     683.5639     696.9708     770.7441
     29.7000     761.0110     840.3472     688.5773     697.5441     772.9661
     29.8000     762.3410     850.8677     692.7336     697.8450     779.0790
     29.9000     767.1053     857.1665     694.0742     698.1093     783.5017
     30.0000     771.1591     860.8395     696.1088     700.5966     783.9905
     30.1000     776.2191     860.0227     697.9622     703.5624     785.6398
     30.2000     781.3157     863.7269     698.6832     703.8685     783.8745
     30.3000     782.9844     870.1931     698.5644     708.2685     784.4836
     30.4000     786.3617     874.7750     701.3644     709.1616     783.4969
     30.5000     788.0464     877.0883     704.6049     710.7671     782.8945
     30.6000     792.8882     883.9828     706.6690     710.1078     785.9197
     30.7000     794.4255     891.4831     709.2635     709.0364     785.0146
     30.8000     799.3666     891.7394     711.6729     712.7864     789.3841
     30.9000     801.8929     895.0659     714.4438     713.8361     789.7697
     31.0000     803.7680     898.5142     715.9423     714.0515     791.6718
     31.1000     805.4105     904.8904     717.8898     716.9310     791.1893
     31.2000     808.2906     910.5180     718.7032     719.4384     791.4177
     31.3000     815.0916     911.6769     717.4324     722.6481     790.0307
     31.4000     816.6747     913.6511     719.7159     724.2026     791.8788
     31.5000     821.6335     918.3660     724.7099     729.7354     789.7390
     31.6000     824.4117     919.7537     728.4171     731.7548     787.7076
     31.7000     826.6902     924.4453     728.5262     732.5577     788.9031
     31.8000     829.9103     930.0000     729.0228     732.0048     790.2758
     31.9000     832.7678     935.0156     730.7805     729.7352     788.6292
     32.0000     837.6289     937.7617     732.6785     729.6774     789.8754
     32.1000     846.7321     938.6534     737.5636     732.7805     795.4026
     32.2000     854.4284     941.8976     736.0991     734.0599     800.5001
     32.3000     857.0001     947.2808     740.0773     738.9647     807.3362
     32.4000     862.2645     952.4551     748.0737     741.6091     808.2464
     32.5000     866.9219     954.8813     755.8921     745.3974     806.0276
     32.6000     871.2718     953.1586     757.5470     746.8738     809.1166
     32.7000     873.4978     951.9450     756.7023     747.3898     814.1507
     32.8000     874.7230     957.5379     756.3872     748.0913     813.2956
     32.9000     878.7130     963.2495     760.5435     748.6165     817.4611
     33.0000     879.1639     964.2164     763.6088     751.0175     826.5712
     33.1000     883.7476     969.8345     772.5443     754.1852     830.2117
     33.2000     882.1093     975.6104     776.2935     756.1019     834.3699
     33.3000     882.2284     979.4940     777.7542     755.6735     836.2493
     33.4000     882.4434     981.9844     782.4044     756.0435     838.3741
     33.5000     888.2216     986.5081     787.6068     756.6114     842.7040
     33.6000     893.1482     992.9026     791.2538     759.2427     850.2816
     33.7000     896.3510     999.1649     789.8218     763.6531     851.5317
     33.8000     901.3395    1001.1063     786.9742     766.6370     855.5417
     33.9000     904.4103    1002.7917     784.2277     771.3148     858.3019
     34.0000     905.9285    1004.1699     783.9453     778.0878     860.3018
     34.1000     906.9760    1004.8786     786.0121     781.6262     857.2993
     34.2000     909.7078    1011.0749     786.1738     785.1790     860.5751
     34.3000     914.0878    1012.4657     785.8152     788.8624     858.8012
     34.4000     913.1718    1017.5410     791.0770     791.9086     855.9365
     34.5000     918.3633    1022.6660     791.7230     794.9958     851.8922
     34.6000     925.1988    1025.8110     795.3280     795.0627     850.6114
     34.7000     928.0464    1026.7532     794.8345     794.3378     850.3552
     34.8000     931.6925    1025.9720     794.3504     795.9421     851.6113
     34.9000     937.5258    1026.6047     790.5435     794.1683     855.1137
     35.0000     946.2224    1023.1931     788.0835     794.8083     858.5029
     35.1000     948.4069    1023.1269     786.0525     795.0995     860.0676
     35.2000     950.3335    1024.6281     784.4672     796.7601     863.2458
     35.3000     952.3383    1026.3042     781.6738     799.7322     865.2624
     35.4000     954.4654    1030.9846     784.2196     800.9421     865.7587
     35.5000     960.7056    1034.3188     787.9579     802.0804     864.8215
     35.6000     963.8785    1037.5120     790.0917     804.6230     864.0275
     35.7000     968.2458    1036.2321     792.7582     801.1212     864.9376
     35.8000     972.9087    1038.3387     793.2711     800.4176     866.0893
     35.9000     974.1357    1041.9764     791.3250     801.5446     864.3882
     36.0000     976.6125    1041.1460     793.2551     803.0841     863.8934
     36.1000     977.8610    1042.3002     793.0078     808.2112     866.9682
     36.2000     979.7968    1040.5396     792.0441     806.5464     871.1559
     36.3000     981.8927    1040.6694     790.2034     807.5694     871.9199
     36.4000     982.0778    1039.7667     790.9269     808.4578     879.0013
     36.5000     981.9559    1041.6307     791.4468     812.5933     885.2756
     36.6000     981.1163    1044.6029     792.6435     816.3242     888.2745
     36.7000     984.5194    1049.5570     797.1964     817.5460     894.0125
     36.8000     990.3259    1052.8646     796.1991     821.6266     900.3322
     36.9000     993.9662    1051.6228     795.0598     823.8870     904.4758
     37.0000     998.0507    1052.6163     795.0536     825.2242     911.8754
     37.1000    1003.3391    1053.7677     796.6048     826.3432     916.1929
     37.2000    1009.0202    1060.1017     799.4603     825.6150     921.7093
     37.3000    1011.2742    1061.6122     802.5730     829.6157     925.9913
     37.4000    1011.8041    1063.1624     804.2858     830.1559     932.9874
     37.5000    1016.2081    1066.6396     807.0214     830.9586     934.0796
     37.6000    1016.9208    1069.4282     809.0640     830.8289     939.2433
     37.7000    1017.2410    1068.7972     813.8812     836.0745     941.4774
     37.8000    1025.9388    1070.5531     815.1304     839.4119     944.6487
     37.9000    1033.9598    1068.5706     818.1924     839.4544     951.0758
     38.0000    1037.8710    1069.2458     820.9550     842.4672     955.0642
     38.1000    1042.4731    1071.5142     825.6515     844.1017     961.4874
     38.2000    1044.2678    1080.1395     827.7565     846.6152     969.3518
     38.3000    1049.1388    1087.9956     827.0051     852.9294     971.9562
     38.4000    1053.3744    1092.4817     834.0635     860.1428     973.1839
     38.5000    1057.7212    1091.3407     837.4083     862.0014     976.4116
     38.6000    1062.7886    1090.8423     841.5546     862.9532     977.2039
     38.7000    1070.8882    1095.4257     841.5737     861.7991     980.2137
     38.8000    1078.3127    1098.8401     844.8064     858.8672     987.3723
     38.9000    1081.4506    1105.2507     847.8763     859.9702     992.6793
     39.0000    1083.9427    1111.2704     847.9718     861.8376     994.7133
     39.1000    1087.5618    1112.9161     848.6081     861.8582     994.3555
     39.2000    1082.7938    1119.3240     850.8337     863.0959     997.9961
     39.3000    1083.6884    1125.3582     851.9891     861.9886    1001.0413
     39.4000    1088.7502    1128.8127     853.4547     863.0571    1015.3198
     39.5000    1088.5474    1131.1519     857.7322     863.0803    1024.3080
     39.6000    1093.2695    1134.4438     862.7172     870.0413    1033.0753
     39.7000    1095.2545    1136.9368     864.3144     872.8393    1040.6033
     39.8000    1094.6771    1142.1682     865.7874     874.0231    1041.8251
     39.9000    1094.7368    1145.8871     865.9799     877.1976    1047.0968
     40.0000    1093.8663    1152.1484     869.0378     879.8442    1050.8853
     40.1000    1093.1602    1157.6454     871.9730     882.0394    1052.4916
     40.2000    1092.4661    1166.1764     873.2055     882.2070    1053.2113
     40.3000    1097.4286    1169.0979     878.9375     887.8373    1053.3174
     40.4000    1106.6525    1171.7238     885.6948     890.4130    1054.2531
     40.5000    1113.3038    1174.9963     884.4941     893.5999    1059.4834
     40.6000    1112.1868    1180.1079     884.1174     902.3368    1059.4340
     40.7000    1113.0436    1183.1108     887.4241     905.7070    1061.0115
     40.8000    1115.9086    1186.6721     892.2758     908.9908    1061.0985
     40.9000    1117.5409    1191.0779     897.0842     914.7620    1064.0673
     41.0000    1122.3649    1195.1949     904.0470     917.3246    1065.7052
     41.1000    1124.8226    1200.6226     910.0159     916.7364    1072.2435
     41.2000    1127.0493    1202.0826     916.9986     918.4254    1076.9478
     41.3000    1133.0142    1213.1150     920.3528     923.6780    1074.9076
     41.4000    1137.2966    1216.6422     921.9763     928.8540    1076.6221
     41.5000    1139.0618    1222.8474     927.4866     930.7518    1077.2321
     41.6000    1142.8643    1229.0061     932.2011     932.7765    1081.4807
     41.7000    1145.9047    1230.0636     938.5305     934.7800    1082.4224
     41.8000    1150.4146    1229.5826     941.4086     934.5906    1089.7837
     41.9000    1148.7821    1225.6505     944.2324     934.5837    1097.1504
     42.0000    1150.0155    1227.6508     949.5336     934.8098    1099.1858
     42.1000    1149.6619    1227.4432     948.7532     936.5386    1102.5465
     42.2000    1152.1376    1226.3187     951.2622     940.2416    1101.9789
     42.3000    1151.7913    1226.0500     951.2831     944.1837    1103.6903
     42.4000    1151.0532    1227.2924     951.3743     947.0816    1103.9626
     42.5000    1150.0201    1230.2120     952.0417     948.8866    1107.4226
     42.6000    1155.9291    1229.4393     956.2124     948.1039    1110.8741
     42.7000    1158.1494    1232.2277     960.5541     946.8583    1112.0614
     42.8000    1157.6127    1236.2853     964.4380     947.8315    1117.9187
     42.9000    1159.0203    1241.8818     968.3973     948.9606    1122.2354
     43.0000    1162.9725    1250.0032     972.3184     948.8405    1124.3593
     43.1000    1165.0068    1255.0483     976.2527     947.7775    1122.3029
     43.2000    1172.4751    1256.8430     975.6091     947.6191    1124.2570
     43.3000    1177.6072    1256.7714     974.4789     942.2571    1131.4061
     43.4000    1181.6079    1264.0193     972.1259     942.9544    1138.8022
     43.5000    1182.5439    1268.9280     975.9164     945.5120    1141.1230
     43.6000    1190.4351    1273.2623     978.7203     945.6163    1145.7566
